event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
russia-mining-regional-ban-2024-12,190,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-garza-gaw-miners-zenminer-2015,198,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-v-coinbase-staking-wells-2023,203,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
singapore-mas-retail-crypto-restriction-2022,216,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
south-africa-fsca-crypto-financial-product-2022,217,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
switzerland-finma-tezos-zg-2018,220,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
thailand-sec-binance-bybit-c-and-d-2021,228,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
tornado-cash-frontend-tornado-cash-eth-block-2022-04,229,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
tornado-cash-pertsev-doj-indictment-2023,234,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
turkey-cmb-casp-licensing-law-7518-2024,239,repair_replayable_trigger_anchor,https://kesikli.com/news-insight/2024-07-26-turkiyes-new-crypto-law-transforming-the-turkish-crypto-market/,captured;patched_fields=10,sha256:cf94f2abf3db27c710990cd7145c74f2969bb2af85c417b674a952fa179e1367,sources/http_captures/turkey-cmb-casp-licensing-law-7518-2024/v0_3_repair/kesikli.com__news-insight-2024-07-26-turkiyes-new-crypto-law-transforming-the-turkish-crypto-market__9cb1a126ad.html,sources/http_captures/turkey-cmb-casp-licensing-law-7518-2024/v0_3_repair/kesikli.com__news-insight-2024-07-26-turkiyes-new-crypto-law-transforming-the-turkish-crypto-market__9cb1a126ad.json,
